Commodity,Geolocation,Year,CPI
"Milk, cheese and eggs (ND)",Basilan,2014,104.5
"Milk, cheese and eggs (ND)",Lanao Del Sur,2014,106.5
"Milk, cheese and eggs (ND)",Maguindanao,2014,104.4
"Milk, cheese and eggs (ND)",Sulu,2014,107.4
"Milk, cheese and eggs (ND)",Tawi-Tawi,2014,105.9
Fish  and Seafood (ND),National Capital Region (NCR),2014,105.9
Fish  and Seafood (ND),Cordillera Administrative Region (CAR),2014,103.8
Fish  and Seafood (ND),Abra,2014,104.6
Fish  and Seafood (ND),Benguet,2014,106.2
Fish  and Seafood (ND),Ifugao,2014,104.4
Fish  and Seafood (ND),Kalinga,2014,99.1
Fish  and Seafood (ND),Mt Province,2014,100.3
Fish  and Seafood (ND),Apayao,2014,98.3
Fish  and Seafood (ND),Region I (Ilocos Region),2014,106.1
Fish  and Seafood (ND),Ilocos Norte,2014,104.3
Fish  and Seafood (ND),Ilocos Sur,2014,105.2
Fish  and Seafood (ND),La Union,2014,102.0
Fish  and Seafood (ND),Pangasinan,2014,107.7
Fish  and Seafood (ND),Region II (Cagayan Valley),2014,103.5
Fish  and Seafood (ND),Batanes,2014,110.5
Fish  and Seafood (ND),Cagayan,2014,103.0
Fish  and Seafood (ND),Isabela,2014,103.6
Fish  and Seafood (ND),Nueva Vizcaya,2014,105.1
Fish  and Seafood (ND),Quirino,2014,100.5
Fish  and Seafood (ND),Region III (Central Luzon),2014,100.9
Fish  and Seafood (ND),Bataan,2014,104.8
Fish  and Seafood (ND),Bulacan,2014,101.7
Fish  and Seafood (ND),Nueva Ecija,2014,97.5
Fish  and Seafood (ND),Pampanga,2014,100.4
Fish  and Seafood (ND),Tarlac,2014,102.1
Fish  and Seafood (ND),Zambales,2014,100.4
Fish  and Seafood (ND),Aurora,2014,108.0
Fish  and Seafood (ND),Region IV-A (CALABARZON),2014,101.7
Fish  and Seafood (ND),Batangas,2014,103.9
Fish  and Seafood (ND),Cavite,2014,104.1
Fish  and Seafood (ND),Laguna,2014,102.9
Fish  and Seafood (ND),Quezon,2014,94.7
Fish  and Seafood (ND),Rizal,2014,101.2
Fish  and Seafood (ND),Region IV-B (MIMAROPA),2014,104.5
Fish  and Seafood (ND),Marinduque,2014,109.0
Fish  and Seafood (ND),Mindoro Occidental,2014,104.5
Fish  and Seafood (ND),Mindoro Oriental,2014,104.8
Fish  and Seafood (ND),Palawan,2014,101.2
Fish  and Seafood (ND),Romblon,2014,112.8
Fish  and Seafood (ND),Region V (Bicol Region),2014,103.5
Fish  and Seafood (ND),Albay,2014,108.2
Fish  and Seafood (ND),Camarines Norte,2014,95.1
Fish  and Seafood (ND),Camarines Sur,2014,109.0
Fish  and Seafood (ND),Catanduanes,2014,105.6
Fish  and Seafood (ND),Masbate,2014,104.1
Fish  and Seafood (ND),Sorsogon,2014,87.9
Fish  and Seafood (ND),Region VI (Western Visayas),2014,106.2
Fish  and Seafood (ND),Aklan,2014,114.9
Fish  and Seafood (ND),Antique,2014,99.7
Fish  and Seafood (ND),Capiz,2014,105.1
Fish  and Seafood (ND),Iloilo,2014,103.6
Fish  and Seafood (ND),Negros Occidental,2014,108.3
Fish  and Seafood (ND),Guimaras,2014,103.5
Fish  and Seafood (ND),Region VII (Central Visayas),2014,115.9
Fish  and Seafood (ND),Bohol,2014,106.0
Fish  and Seafood (ND),Cebu,2014,122.5
Fish  and Seafood (ND),Negros Oriental,2014,104.7
Fish  and Seafood (ND),Siquijor,2014,112.0
Fish  and Seafood (ND),Region VIII (Eastern Visayas),2014,108.1
Fish  and Seafood (ND),Eastern Samar,2014,121.8
Fish  and Seafood (ND),Leyte,2014,106.8
Fish  and Seafood (ND),Northern Samar,2014,101.9
Fish  and Seafood (ND),Western Samar,2014,114.4
Fish  and Seafood (ND),Southern Leyte,2014,118.5
Fish  and Seafood (ND),Biliran,2014,102.6
Fish  and Seafood (ND),Region IX (Zamboanga Peninsula),2014,98.6
Fish  and Seafood (ND),Zamboanga Del Norte,2014,95.7
Fish  and Seafood (ND),Zamboanga Del Sur,2014,102.2
Fish  and Seafood (ND),Zamboanga Sibugay,2014,95.7
Fish  and Seafood (ND),City of Isabela,2014,78.4
Fish  and Seafood (ND),Region X (Northern Mindanao),2014,106.6
Fish  and Seafood (ND),Bukidnon,2014,106.4
Fish  and Seafood (ND),Camiguin,2014,103.0
Fish  and Seafood (ND),Lanao Del Norte,2014,103.7
Fish  and Seafood (ND),Misamis Occidental,2014,112.7
Fish  and Seafood (ND),Misamis Oriental,2014,106.4
Fish  and Seafood (ND),Region XI (Davao Region),2014,99.7
Fish  and Seafood (ND),Davao Del Norte,2014,90.7
Fish  and Seafood (ND),Davao Del Sur,2014,95.4
Fish  and Seafood (ND),Davao Oriental,2014,115.9
Fish  and Seafood (ND),Compostela Valley,2014,117.9
Fish  and Seafood (ND),Region XII (SOCCSKSARGEN),2014,107.4
Fish  and Seafood (ND),North Cotabato,2014,107.9
